time,latitude,longitude,message,Unnamed: 4,Unnamed: 5,Unnamed: 6
1466489040000000000,123,123,212A04D6EF88212A04D6EF88212A04D6EF88212B04D5EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF87212A04D6EF87212A04D6EF87212B04D5EF87212B04D6EF87212B04D6EF88212B04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF87212B04D6EF87212C04D6EF87212B04D5EF88212A04D5EF88212A04D5EF88212B04D6EF88212A04D6EF87212A04D5EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D5EF8A212A04D5EF8A212B04D5EF88212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8A212904D6EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8A212904D5EF8B212904D5EF8B212904D5EF8A212904D5EF8A212A04D6EF8B212A04D5EF8B212904D5EF8B212904D5EF8B212904D5EF8B212A04D5EF8C212A04D6EF8B212A04D6EF8B212A04D5EF8B212904D5EF8B212904D5EF8A212A04D5EF8A212B04D5EF8B212A04D5EF8B212A04D5EF8B212A04D6EF8A212A04D6EF8A212A04D5EF8A212B04D5EF88212A04D6EF8A212A04D6EF8A212A04D6EF88212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF88212A04D5EF8A212904D5EF8A212A04D5EF8A212A04D5EF8A212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212B04D6EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D6EF88212A04D6EF88212A04D6EF87212A04D6EF87212B04D6EF87212B04D6EF87212A04D5EF88212A04D6EF88212B04D6EF87212A04D6EF87212B04D5EF88212B04D5EF88212A04D5EF88212A04D6EF88212A04D6EF88212B04D5EF88212B04D5EF88212A04D5EF88212A04D6EF88212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF8A212A04D5EF8A212B04D6EF8A,,,
1466489041000000000,123,123,212B04D6EF8A212A04D5EF8A212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212904D5EF8C212904D6EF8C212A04D6EF8B212A04D6EF8B212A04D5EF8B212A04D5EF8B212904D6EF8B212A04D6EF8B212A04D5EF8B212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212B04D5EF8A212A04D5EF8A212A04D5EF8A212B04D5EF8A212B04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF88212A04D5EF88212A04D5EF8A212A04D5EF8A212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF87212A04D6EF87212A04D6EF88212A04D5EF88212B04D5EF88212B04D5EF88212B04D6EF88212B04D6EF88212B04D5EF88212A04D5EF87212A04D5EF87212B04D6EF87212B04D6EF87212B04D5EF87212B04D5EF87212B04D6EF87212B04D6EF88212B04D6EF88212B04D6EF88212B04D5EF88212B04D5EF88212B04D5EF87212B04D5EF88212A04D5EF8A212A04D5EF8A212B04D6EF88212A04D6EF88212A04D5EF8A212B04D5EF8A212A04D5EF88212A04D5EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212904D5EF8B212A04D5EF8B212A04D5EF8A212904D5EF8B212904D5EF8B212A04D5EF8B212A04D5EF8B212904D5EF8B212904D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8A212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8A212A04D5EF8B212A04D5EF8B212A04D5EF8A212A04D5EF8A212A04D6EF8A212904D6EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF88212A04D6EF88212A04D6EF8A212B04D5EF8A212B04D5EF8A212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF87,,,
1466489042000000000,123,123,212B04D6EF87212B04D6EF88212A04D6EF88212A04D6EF87212B04D6EF88212B04D6EF87212A04D6EF87212A04D6EF88212A04D6EF88212A04D6EF88212B04D6EF87212B04D6EF87212B04D6EF88212B04D5EF88212A04D5EF87212A04D5EF87212A04D5EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF8A212A04D5EF88212A04D5EF88212B04D6EF88212A04D6EF88212A04D6EF87212A04D5EF88212A04D5EF88212A04D6EF8A212904D6EF8A212A04D5EF8A212A04D5EF8A212B04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212904D5EF8A212904D6EF8A212A04D6EF8A212904D6EF8A212904D5EF8B212904D5EF8B212A04D5EF8B212B04D6EF8B212A04D6EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8A212A04D5EF8A212A04D6EF8A212A04D6EF8A212A04D6EF8A212A04D5EF8A212A04D5EF8A212904D5EF8A212A04D5EF88212A04D6EF8A212A04D6EF8A212A04D5EF8A212A04D5EF8A212B04D5EF8A212B04D5EF88212A04D5EF88212A04D5EF88212904D6EF88212904D6EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212B04D5EF88212B04D5EF88212B04D6EF88212B04D6EF88212A04D5EF88212A04D6EF88212B04D6EF88212B04D5EF88212A04D5EF87212A04D5EF87212A04D5EF88212A04D5EF87212B04D6EF87212B04D6EF88212B04D6EF88212A04D6EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D6EF88212B04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF8A212A04D6EF8A212904D5EF8A212904D5EF8A212A04D6EF88212B04D6EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212904D5EF8A212A04D5EF8A212A04D5EF8B212904D5EF8B212904D5EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8B212904D5EF8B212904D5EF8B,,,
1466489043000000000,123,123,212904D5EF8B212A04D5EF8B212A04D5EF8B212904D6EF8B212904D5EF8B212A04D5EF8B212A04D5EF8B212904D5EF8B212904D5EF8B212904D5EF8B212904D5EF8A212A04D5EF8B212A04D5EF8B212A04D6EF8A212A04D6EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8A212A04D6EF88212A04D5EF8A212A04D5EF8A212B04D6EF88212A04D6EF88212A04D5EF8A212A04D5EF8A212A04D6EF88212A04D6EF88212A04D6EF8A212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212B04D6EF88212B04D6EF88212B04D6EF88212B04D6EF88212A04D6EF87212A04D6EF87212B04D6EF88212B04D6EF88212A04D5EF87212A04D5EF87212B04D6EF87212A04D6EF87212A04D5EF88212B04D5EF88212A04D5EF88212A04D5EF88212A04D5EF87212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212904D5EF88212A04D5EF88212A04D5EF88212A04D5EF8A212A04D5EF8A212A04D5EF88212A04D5EF88212A04D5EF8A212904D5EF88212A04D5EF88212A04D6EF88212A04D6EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8A212A04D6EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212904D6EF8B212904D6EF8B212904D5EF8B212904D5EF8B212A04D6EF8B212A04D6EF8B212A04D5EF8B212904D5EF8B212904D5EF8B212A04D6EF8A212A04D6EF8A212A04D5EF8A212904D6EF8A212904D5EF8A212904D5EF8A212904D5EF8A212A04D5EF88212A04D5EF88212A04D5EF8A212A04D5EF8A212A04D5EF88212A04D5EF88212A04D6EF8A212B04D6EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF87212B04D5EF87212A04D6EF87212A04D6EF88212B04D6EF88212B04D6EF88212A04D6EF87212A04D6EF87212A04D6EF87212B04D6EF87212A04D5EF87212A04D6EF87212A04D6EF88212A04D6EF88212B04D6EF88212B04D6EF88,,,
1466489044000000000,123,123,212A04D6EF87212A04D5EF87212A04D5EF88212A04D5EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF88212A04D5EF88212904D5EF8A212A04D5EF8A212A04D5EF8A212904D5EF88212A04D6EF88212A04D6EF88212904D6EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8A212904D5EF8A212904D5EF8A212904D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212904D5EF8B212A04D5EF8B212A04D5EF8B212B04D5EF8B212B04D5EF8B212A04D5EF8B212A04D5EF8B212A04D6EF8A212A04D6EF8B212A04D5EF8B212A04D5EF8B212904D5EF8A212904D5EF8A212A04D5EF8B212A04D5EF8A212A04D5EF8A212A04D5EF8B212A04D5EF8B212A04D5EF8A212904D6EF8A212A04D6EF8A212A04D6EF8A212A04D6EF8A212A04D6EF88212B04D6EF8A212A04D6EF8A212A04D5EF88212A04D5EF88212A04D6EF8A212A04D6EF8A212A04D6EF88212A04D6EF88212A04D5EF88212904D5EF88212A04D6EF88212B04D6EF88212A04D6EF88212A04D5EF88212A04D6EF88212A04D6EF87212A04D6EF87212A04D6EF88212B04D6EF88212A04D6EF87212A04D6EF87212A04D5EF88212A04D5EF88212A04D5EF87212A04D5EF88212A04D6EF88212A04D6EF87212A04D5EF87212B04D5EF87212B04D5EF87212B04D5EF87212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D5EF8A212A04D6EF8A212B04D6EF8A212A04D6EF8A212904D6EF8A212A04D6EF8A212A04D5EF8A212A04D5EF88212B04D5EF88212A04D5EF8A212A04D5EF8A212A04D5EF8A212904D5EF8A212904D5EF8A212A04D5EF8B212904D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8B212A04D5EF8A212A04D5EF8B212904D5EF8B212A04D6EF8B212A04D5EF8B212904D5EF8B212904D5EF8B212904D5EF8B212904D5EF8B212904D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8A212A04D6EF8A212A04D6EF8A212B04D6EF8A212A04D6EF88212A04D6EF88,,,
1466489045000000000,123,123,212A04D6EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8A212A04D6EF88212A04D6EF8A212A04D6EF8A212A04D5EF8A212A04D5EF8A212B04D6EF8A212B04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212B04D5EF88212A04D5EF88212A04D5EF88212A04D6EF87212A04D6EF88212A04D5EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D5EF87212B04D6EF87212B04D6EF87212A04D5EF87212B04D6EF88212B04D6EF88212A04D6EF88212A04D6EF88212B04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF8A212A04D5EF8A212A04D6EF88212A04D6EF88212B04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212904D5EF8A212904D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8B212904D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212904D5EF8A212A04D5EF8A212A04D5EF8B212904D5EF8B212904D5EF8B212A04D5EF8A212A04D5EF8B212904D5EF8B212904D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF88212A04D6EF8A212904D6EF8A212A04D6EF8A212A04D6EF8A212A04D5EF8A212A04D5EF8A212A04D6EF88212A04D6EF8A212A04D6EF8A212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212B04D6EF88212B04D6EF88212B04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF87212A04D6EF87212A04D6EF87212904D6EF87212A04D6EF88212A04D5EF88212A04D5EF87212B04D6EF87212A04D6EF87212A04D6EF87212B04D6EF88212B04D6EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF88212A04D6EF88212A04D6EF88212A04D6EF88212904D5EF88212A04D5EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF88212A04D5EF8A212A04D6EF8A212A04D6EF88212A04D5EF88212904D5EF88,,,
1466489046000000000,123,123,212A04D5EF88212A04D5EF8A212A04D5EF8A212904D5EF8A212904D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8B212A04D5EF8B212A04D5EF8B212904D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8C212A04D5EF8C212A04D5EF8B212904D5EF8B212904D5EF8B212904D5EF8B212904D5EF8B212904D6EF8A212A04D6EF8A212A04D6EF8B212A04D6EF8B212A04D5EF8A212A04D5EF8A212B04D5EF8A212B04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF88212A04D5EF88212A04D5EF88212B04D6EF88212A04D6EF8A212A04D6EF8A212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF88212A04D6EF88212A04D6EF88212B04D6EF88212B04D6EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF87212A04D5EF88212A04D5EF88212B04D6EF87212B04D6EF87212A04D5EF87212A04D5EF87212B04D6EF87212B04D6EF87212B04D6EF87212B04D6EF87212B04D5EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D5EF88212904D5EF88212904D5EF8A212A04D5EF8A212A04D6EF8A212A04D6EF8A212A04D5EF8A212A04D5EF8A212B04D5EF88212A04D6EF88212A04D6EF88212A04D5EF88212904D5EF88212904D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212904D5EF8A212A04D5EF8A212A04D5EF8B212A04D5EF8B212A04D5EF8A212A04D5EF8A212A04D5EF8A212904D5EF8B212A04D6EF8B212A04D6EF8B212904D5EF8B212904D5EF8B212904D5EF8B212904D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212904D6EF8A212A04D6EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF88212B04D6EF88212A04D6EF88212A04D6EF88212A04D6EF8A212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF88212B04D6EF88212B04D6EF88212A04D6EF87,,,
1466489047000000000,123,123,212A04D6EF87212A04D5EF87212B04D5EF87212A04D6EF88212B04D6EF88212B04D5EF87212B04D5EF87212A04D6EF87212A04D6EF87212B04D6EF87212B04D6EF87212A04D5EF87212A04D5EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D6EF88212A04D6EF88212A04D6EF88212904D5EF88212904D5EF88212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8A212B04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212B04D5EF8A212B04D5EF8A212A04D6EF8A212A04D6EF8B212A04D6EF8B212A04D6EF8B212904D5EF8B212904D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212904D5EF8B212904D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8A212904D5EF8A212904D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8B212A04D5EF8A212A04D6EF8A212A04D6EF8A212A04D5EF88212A04D5EF88212A04D5EF8A212A04D5EF8A212904D5EF88212A04D6EF88212A04D6EF88212A04D6EF8A212A04D6EF8A212A04D6EF88212A04D5EF88212A04D5EF88212B04D6EF88212B04D6EF88212A04D6EF88212A04D6EF87212A04D6EF88212A04D6EF88212B04D6EF88212A04D6EF87212A04D6EF87212A04D6EF87212A04D5EF87212A04D5EF87212A04D6EF87212B04D5EF87212B04D5EF87212B04D6EF87212A04D6EF87212A04D6EF87212A04D6EF87212A04D6EF88212A04D5EF88212A04D5EF88212B04D5EF87212A04D6EF88212A04D6EF88212A04D6EF88212904D6EF88212904D6EF88212904D6EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8A212A04D6EF88212A04D5EF88212A04D5EF8A212B04D6EF8A212B04D6EF8A212B04D6EF8A212A04D6EF8A212A04D5EF8A212904D5EF8A212A04D5EF8A212A04D6EF8A212A04D6EF8A212A04D6EF8A212A04D5EF8A212A04D5EF8B212A04D5EF8B212904D5EF8B212A04D5EF8B212A04D5EF8B212B04D5EF8B212A04D5EF8B212904D5EF8B212904D5EF8B,,,
1466489048000000000,123,123,212A04D5EF8B212A04D6EF8A212904D5EF8A212904D5EF8B212904D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF88212A04D5EF8A212A04D5EF8A212B04D5EF88212B04D6EF8A212A04D5EF8A212A04D5EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF88212A04D5EF88212B04D5EF88212A04D5EF88212A04D5EF88212A04D6EF87212A04D6EF87212B04D6EF87212B04D5EF87212B04D5EF87212A04D5EF87212A04D6EF88212A04D6EF88212B04D6EF87212B04D6EF87212B04D6EF87212B04D6EF87212A04D6EF88212A04D6EF88212A04D6EF88212A04D5EF88212B04D5EF88212B04D5EF88212B04D5EF88212B04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D6EF88212904D6EF8A212904D6EF8A212A04D5EF8A212A04D6EF8A212B04D6EF88212A04D6EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8B212A04D5EF8B212A04D5EF8B212904D6EF8B212904D6EF8A212A04D5EF8A212A04D5EF8B212A04D6EF8B212A04D6EF8A212A04D5EF8A212904D5EF8B212904D5EF8B212904D5EF8A212904D6EF8A212A04D6EF8A212A04D6EF8A212A04D5EF8A212904D5EF8A212904D5EF8A212A04D6EF8A212A04D6EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8A212904D5EF8A212904D5EF88212A04D6EF88212B04D6EF88212A04D5EF88212A04D5EF88212A04D6EF88212B04D5EF88212A04D5EF88212A04D6EF88212A04D6EF88212A04D6EF88212B04D6EF88212B04D6EF88212A04D5EF88212A04D5EF88212B04D6EF87212B04D6EF87212A04D6EF87212A04D6EF87212B04D5EF87212B04D5EF87212A04D6EF87212A04D6EF87212A04D6EF87212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D6EF88212B04D6EF88212B04D6EF88212A04D6EF8A212A04D6EF8A212A04D6EF88,,,
1466489049000000000,123,123,212A04D6EF88212A04D5EF8A212B04D5EF8A212A04D6EF8A212A04D6EF8A212B04D5EF8A212B04D5EF8A212B04D5EF8A212A04D5EF8A212A04D6EF8A212B04D5EF8A212A04D5EF8A212904D5EF8B212A04D5EF8B212A04D5EF8A212A04D5EF8A212A04D6EF8A212A04D5EF8A212A04D5EF8B212A04D5EF8B212A04D5EF8B212904D6EF8A212A04D6EF8B212A04D6EF8B212904D5EF8B212904D5EF8B212904D5EF8A212904D5EF8A212A04D5EF8A212A04D6EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212B04D5EF8A212B04D5EF8A212A04D6EF8A212A04D6EF8A212A04D6EF88212A04D6EF8A212A04D6EF8A212B04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212904D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF87212B04D6EF87212B04D6EF87212904D5EF88212A04D6EF88212A04D6EF87212B04D6EF87212B04D6EF87212B04D6EF88212A04D6EF88212B04D6EF88212B04D6EF87212B04D6EF87212B04D6EF87212A04D6EF88212B04D6EF88212B04D5EF88212B04D5EF88212B04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D5EF88212B04D6EF88212A04D6EF88212A04D5EF88212A04D6EF88212A04D6EF88212904D5EF88212904D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8B212A04D4EF8B212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8A212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8C212A04D6EF8C212A04D6EF8B212A04D6EF8B212A04D6EF8A212A04D5EF8A212904D5EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8A212A04D6EF8A212904D6EF8A212904D6EF8A212A04D5EF8A212A04D5EF88212A04D5EF8A212A04D5EF8A212A04D6EF88212B04D6EF87212B04D5EF88212A04D5EF88,,,
1466489050000000000,123,123,212B04D6EF88212B04D6EF88212A04D5EF88212904D5EF88212904D5EF88212A04D6EF88212904D5EF88212A04D5EF88212B04D6EF87212B04D6EF87212A04D5EF87212A04D5EF87212A04D6EF88212B04D6EF88212B04D6EF88212B04D6EF88212A04D6EF87212A04D6EF87212B04D6EF88212A04D6EF88212A04D6EF87212A04D6EF88212B04D6EF88212B04D6EF88212A04D5EF88212A04D5EF88212B04D6EF88212A04D5EF88212A04D5EF88212A04D6EF88212A04D5EF88212A04D5EF88212A04D5EF8A212A04D5EF8A212B04D6EF88212A04D6EF88212A04D6EF8A212A04D6EF8A212A04D6EF88212A04D6EF8A212A04D6EF8A212A04D6EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8B212904D5EF8B212A04D5EF8A212A04D5EF8B212904D5EF8B212904D5EF8B212904D5EF8B212A04D5EF8B212A04D5EF8B212904D6EF8B212904D6EF8B212A04D5EF8B212A04D5EF8B212904D6EF8B212A04D6EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF88212A04D6EF88212A04D6EF8A212A04D6EF8A212A04D6EF8A212A04D6EF8A212A04D6EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF88212A04D6EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF87212A04D6EF87212A04D6EF87212A04D5EF87212A04D5EF87212A04D6EF87212B04D6EF88212B04D6EF88212B04D6EF87212B04D6EF87212A04D6EF87212A04D6EF87212A04D6EF87212A04D6EF88212A04D5EF88212A04D5EF88212B04D6EF88212B04D6EF88212904D5EF88212904D5EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212904D6EF8A212904D6EF8B212A04D6EF8B212A04D6EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8B212904D5EF8B,,,
1466489051000000000,123,123,212A04D5EF8A212A04D5EF8B212904D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8A212A04D5EF8B212A04D6EF8B212904D6EF8A212A04D5EF8A212A04D5EF8B212904D5EF8B212904D5EF8B212904D5EF8A212904D5EF8A212904D5EF8A212904D5EF8B212A04D6EF8B212A04D6EF8A212904D6EF8A212904D6EF8A212A04D6EF8A212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D6EF88212A04D5EF88212A04D5EF88212A04D6EF88212A04D6EF8A212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212A04D5EF88212A04D5EF87212B04D6EF87212A04D6EF87212A04D6EF87212B04D6EF88212B04D6EF88212A04D6EF88212A04D6EF87212A04D6EF87212B04D6EF87212A04D6EF87212A04D6EF87212B04D6EF87212B04D6EF87212A04D6EF87212B04D6EF87212B04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212A04D5EF88212B04D5EF88212A04D6EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8A212A04D6EF8A212A04D6EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8B212904D5EF8A212904D5EF8A212A04D5EF8B212A04D5EF8B212A04D5EF8B212A04D6EF8A212A04D5EF8A212A04D5EF8B212904D6EF8B212904D6EF8B212904D5EF8B212A04D5EF8B212A04D5EF8B212A04D5EF8B212904D5EF8A212904D5EF8A212A04D5EF8B212A04D6EF8A212A04D5EF8A212904D5EF8A212A04D5EF8A212A04D5EF8A212A04D6EF8A212A04D6EF8A212A04D6EF8A212A04D5EF88212A04D5EF88212A04D6EF88212A04D6EF88212A04D6EF8A212A04D6EF8A212B04D6EF88212B04D6EF88212A04D6EF88212A04D6EF88212A04D6EF88212B04D5EF88212B04D5EF87212A04D6EF87212B04D6EF87212B04D6EF87212B04D6EF87212B04D6EF87212B04D6EF87212A04D6EF87212B04D6EF86212B04D6EF87212A04D6EF88212A04D6EF87212A04D6EF87,,,
